platform,title,url,author,description,published_at,likes,comments,shares
douyin,我的vibe coding工作流 #vibecoding #ai #claude #codex #工作流 #vibecoding大赏,https://www.douyin.com/video/7646624256365397606,叫我LetterGen啦,06:42 3855 我的vibe coding工作流 #vibecoding #ai #claude #codex #工作流 #vibecoding大赏 @叫我LetterGen啦 1周前,2026-06-08,3855,,
douyin,推荐四个Vibe coding必装skills，让你少走十年 弯路！#vibecoding #skills #AI #vibecoding大赏,https://www.douyin.com/video/7649695349791067419,THINK AI,02:28 208 推荐四个Vibe coding必装skills，让你少走十年 弯路！#vibecoding #skills #AI #vibecoding大赏 @THINK AI 4天前,2026-06-11,208,,
douyin,用Codex开发简直不要太爽，分享vibecoding思路 #vibecoding大赏 #ai新星计划 #ai编程 #ai开发 @抖音科技,https://www.douyin.com/video/7649327258737315122,三立方,02:52 70 用Codex开发简直不要太爽，分享vibecoding思路 #vibecoding大赏 #ai新星计划 #ai编程 #ai开发 @抖音科技 @三立方 4天前,2026-06-11,70,,
douyin,codex生成6种风格教程，你做的视频有了风格就好看了 #codex #codex剪辑 #ai新星计划 #vibecoding #vibecoding大赏 @抖音科技,https://www.douyin.com/video/7650090609654790522,远方的AI船长,03:21 3959 codex生成6种风格教程，你做的视频有了风格就好看了 #codex #codex剪辑 #ai新星计划 #vibecoding #vibecoding大赏 @抖音科技 @远方的AI船长 3天前,2026-06-12,3959,,
douyin,VibeCoding大赏｜5分钟搞懂Vibe Coding 29天跟做Day1｜5分钟搞懂什么是Vibe Coding!｜别死磕语法了｜Define·Type·Judge三角色一次讲透 #vibecoding大赏 #ai新星计划 #ai编程 #vibecoding,https://www.douyin.com/video/7649322277259021574,AI产品寿哥,合集 07:40 185 VibeCoding大赏｜5分钟搞懂Vibe Coding 29天跟做Day1｜5分钟搞懂什么是Vibe Coding!｜别死磕语法了｜Define·Type·Judge三角色一次讲透 #vibecoding大赏 #ai新星计划 #ai编程 #vibecoding @AI产品寿哥 5天前,2026-06-10,185,,
douyin,适合小白上手的vibecoding案例，有趣又有用。 #我的第一个vibecoding作品 #人类对豆包的开发不足百分之一 #30秒能用豆包做什么,https://www.douyin.com/video/7649299618907376936,解忧代码,00:52 3419 适合小白上手的vibecoding案例，有趣又有用。 #我的第一个vibecoding作品 #人类对豆包的开发不足百分之一 #30秒能用豆包做什么 @解忧代码 5天前,2026-06-10,3419,,
douyin,花2天时间Vibe coding了新的作品集网站 用了Framer+Codex，不直接全AI做是希望网站还有一些我调整的自定义部分，接下来可能会把3d模型展示做一下再加一点动画！后面有机会出教程~#vibecoding #游戏设计留学 #作品集 #个人网站 #vibecoding大赏,https://www.douyin.com/video/7649695786113617206,紫薯冰粉,01:10 6116 花2天时间Vibe coding了新的作品集网站 用了Framer+Codex，不直接全AI做是希望网站还有一些我调整的自定义部分，接下来可能会把3d模型展示做一下再加一点动画！后面有机会出教程~#vibecoding #游戏设计留学 #作品集 #个人网站 #vibecoding大赏 @紫薯冰粉 4天前,2026-06-11,6116,,
douyin,vibecoding最佳实践，大佬都在用的极简工作流 #ai #vibecoding #ai教学 #工作流 #vibecoding大赏,https://www.douyin.com/video/7647175251755984997,Edward_ai,01:43 3030 vibecoding最佳实践，大佬都在用的极简工作流 #ai #vibecoding #ai教学 #工作流 #vibecoding大赏 @Edward_ai 1周前,2026-06-08,3030,,
douyin,Vibe Coding立项：前端骨架 在开始让AI写前端之前，记得先做这些哦。#vibecoing #前端开发 #cursor #codex,https://www.douyin.com/video/7647330309549100340,敲代码的小虾米,合集 09:40 5282 Vibe Coding立项：前端骨架 在开始让AI写前端之前，记得先做这些哦。#vibecoing #前端开发 #cursor #codex @敲代码的小虾米 1周前,2026-06-08,5282,,
douyin,3分钟让你少走三年Vibe Coding的弯路 都是 Vibe Coding，凭什么他能月入 175 万？我研究完发现逻辑很简单：先用 MVP 快速上线 → 用收费验证需求 → 用自媒体获得第一批用户 → 再用自动化把自己放大成一个团队。这期聊聊，普通人做 AI 产品到底差在哪,https://www.douyin.com/video/7648580179547213099,七彩缤纷马桶,02:31 6612 3分钟让你少走三年Vibe Coding的弯路 都是 Vibe Coding，凭什么他能月入 175 万？我研究完发现逻辑很简单：先用 MVP 快速上线 → 用收费验证需求 → 用自媒体获得第一批用户 → 再用自动化把自己放大成一个团队。这期聊聊，普通人做 AI 产品到底差在哪 @七彩缤纷马桶 1周前,2026-06-08,6612,,
