platform,title,url,cover_url,author,published_at,like_count,comment_count,collect_count,share_count,hot_score,recent_hot_score,case_type,built_thing,tool_stack,target_audience,hook,content_value,evidence_level,monetization_signal,risk_flag,primary_category,category_label,product_forms,tools,motives,audience,confidence,description,source
xiaohongshu,新媒体运营如何用 Codex 搭一个内容工作台,https://www.xiaohongshu.com/explore/6a2ec749000000001603c796,,元气少女壮壮,2026-06-14,50,,,,50.0,50.0,教程,运营工具,Codex,运营/营销,,,中,,,content_marketing,内容和营销创作,,Codex,,运营/营销,0.62,新媒体运营如何用 Codex 搭一个内容工作台 元气少女壮壮 昨天 23:22 50,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,Vibe Coding 给自己做了个人网站,https://www.xiaohongshu.com/explore/6a2e83d100000000150278d2,,阿祖不看 TVC,2026-06-14,7,,,,7.0,7.0,真案例,网站,,,,有结果,强,,,product_build,做产品/工具,网站,,,,0.95,Vibe Coding 给自己做了个人网站 阿祖不看 TVC 昨天 18:51 7,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,💻codex作品集网站教程分享✊🏻,https://www.xiaohongshu.com/explore/6a2f6e75000000001003c0fe,,Liufff,2026-06-15,141,,,,141.0,141.0,教程,网站、创意实验/好玩项目,Codex,,几小时上线,可复刻,中,,,dev_productivity,开发提效/编程技巧,网站、课程/内容,Codex,学习入门,,0.62,💻codex作品集网站教程分享✊🏻 Liufff 3小时前 141,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,零基础用vibe coding制作个人网站,https://www.xiaohongshu.com/explore/6a2acc910000000007012930,,香菜不香1,2026-06-12,38,,,,38.0,12.67,真案例,网站,,零基础用户,,有结果,强,,,learning_tutorial,教程/课程/方法论,网站,,学习入门,零基础用户,0.7,零基础用vibe coding制作个人网站 香菜不香1 3天前 38,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
douyin,【Claude Code】大学生第一次vibecoding！ 花了两个晚上用claude code做了一个自动化脚本竟然跑通并盈利了！#vibecoding#claude #macbook #vibecoding大赏,https://www.douyin.com/video/7650726740561652352,,callmeifyougetlost,2026-06-13,6797,,,,6797.0,3398.5,真案例,自动化流程,Claude、Claude Code,学生/求职者,几小时上线、变现、平台大赛、效率提升、求职转行,有结果,强,盈利,平台活动内容,content_marketing,内容和营销创作,AI Agent/工作流,Claude、Claude Code,工作提效,学生/求职者,0.57,04:38 6797 【Claude Code】大学生第一次vibecoding！ 花了两个晚上用claude code做了一个自动化脚本竟然跑通并盈利了！#vibecoding#claude #macbook #vibecoding大赏 @callmeifyougetlost 2天前,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
douyin,你们一直催更的最简单的vibe coding教程来啦！！！ #vibecoding #编程 #个人开发者 #小游戏 #AI 这次别再看我聪明绝顶了好伐,https://www.douyin.com/video/7646356967723683112,,永垂不朽的高,2026-06-08,53,,,,53.0,7.57,教程,游戏/互动,,开发者,,可复刻,中,,,creative_game_visual,创意可视化/小游戏,小游戏/互动、课程/内容,,学习入门、表达创意,开发者,0.7,06:00 53 你们一直催更的最简单的vibe coding教程来啦！！！ #vibecoding #编程 #个人开发者 #小游戏 #AI 这次别再看我聪明绝顶了好伐 @永垂不朽的高 1周前,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
douyin,Vibecoding变现：从想法到产品的必经之路 做Vibecoding想变现？手搓的工具不管是对外用还是展示，都得部署上线才行，来看看一个idea是怎么变成产品的～ #大模型 #ai新星计划 #vibecoding大赏 #AIagent #大模型实战,https://www.douyin.com/video/7649425941694261312,,可燃AI,2026-06-10,74,,,,74.0,14.8,真案例,AI agent,,创业者/独立开发者,完整流程、平台大赛、几小时上线、变现,有结果,强,变现,平台活动内容,product_build,做产品/工具,AI Agent/工作流,,赚钱/副业,创业者/独立开发者,0.65,01:23 74 Vibecoding变现：从想法到产品的必经之路 做Vibecoding想变现？手搓的工具不管是对外用还是展示，都得部署上线才行，来看看一个idea是怎么变成产品的～ #大模型 #ai新星计划 #vibecoding大赏 #AIagent #大模型实战 @可燃AI 5天前,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
douyin,我的vibe coding工作流 #vibecoding #ai #claude #codex #工作流 #vibecoding大赏,https://www.douyin.com/video/7646624256365397606,,叫我LetterGen啦,2026-06-08,3858,,,,3858.0,551.14,教程,自动化流程,Claude、Codex,,平台大赛、效率提升,可复刻,中,,平台活动内容,dev_productivity,开发提效/编程技巧,AI Agent/工作流,Claude、Codex,工作提效,,0.7,06:42 3858 我的vibe coding工作流 #vibecoding #ai #claude #codex #工作流 #vibecoding大赏 @叫我LetterGen啦 1周前,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
douyin,花2天时间Vibe coding了新的作品集网站 用了Framer+Codex，不直接全AI做是希望网站还有一些我调整的自定义部分，接下来可能会把3d模型展示做一下再加一点动画！后面有机会出教程~#vibecoding #游戏设计留学 #作品集 #个人网站 #vibecoding大赏,https://www.douyin.com/video/7649695786113617206,,紫薯冰粉,2026-06-11,6129,,,,6129.0,1532.25,真案例,网站、3D建模/渲染、设计系统/视觉、创意实验/好玩项目、游戏/互动,Codex,设计/创作者,几小时上线、平台大赛,可复刻,强,,平台活动内容,creative_game_visual,创意可视化/小游戏,3D建模/渲染、小游戏/互动、网站、课程/内容,Codex,表达创意、学习入门,设计/创作者,0.7,01:10 6129 花2天时间Vibe coding了新的作品集网站 用了Framer+Codex，不直接全AI做是希望网站还有一些我调整的自定义部分，接下来可能会把3d模型展示做一下再加一点动画！后面有机会出教程~#vibecoding #游戏设计留学 #作品集 #个人网站 #vibecoding大赏 @紫薯冰粉 4天前,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
douyin,vibecoding最佳实践，大佬都在用的极简工作流 #ai #vibecoding #ai教学 #工作流 #vibecoding大赏,https://www.douyin.com/video/7647175251755984997,,Edward_ai,2026-06-08,3030,,,,3030.0,432.86,教程,自动化流程,,,平台大赛、效率提升,可复刻,中,,平台活动内容,workflow_automation,工作流和运营自动化,AI Agent/工作流,,工作提效,,0.95,01:43 3030 vibecoding最佳实践，大佬都在用的极简工作流 #ai #vibecoding #ai教学 #工作流 #vibecoding大赏 @Edward_ai 1周前,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
